id,brand,car_model,type,desc,problem,datetime,status
486452,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉新车右前叶子板有修复痕迹,"M284,",2020-06-20,信息审核
486451,江淮汽车,瑞风S4,2019款 1.6L CVT 梦想型,江淮瑞风S4中控仪表盘开裂4S店拒绝索赔,"H168,I297,",2020-06-20,信息审核
486449,东风标致,标致408,2015款 1.2T 自动 荣耀版,东风标致408更换正时皮带后发动机烧机油,"A63,",2020-06-20,信息审核
486447,上汽集团,荣威RX5 MAX,2019款 300TGI 自动 智能座舱旗舰版,上汽荣威RX5 MAX行驶中变速箱跳挡,"B27,",2020-06-20,信息审核
486446,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408转弯时后桥严重异响,"G158,",2020-06-20,信息审核
486445,东风雷诺,科雷嘉,2019款 SCe200 自动 两驱 智悦型 周年版 国V,东风雷诺科雷嘉EASYLINK车联网服务改为收费,"L313,",2020-06-20,信息审核
486444,东风本田,本田XR-V,2020款 220 TURBO CVT 豪华版,东风本田XR-V行驶中底盘装甲突然掉落,"J299,J304,",2020-06-20,信息审核
486442,上汽大众,途观,2012款 1.4TSI 手动 两驱 都会版,上汽大众途观4S店用外采件充当原装配件,"N319,",2020-06-20,信息审核
486441,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越车机升级不兑现 出现死机,"H155,L314,",2020-06-20,信息审核
486433,广汽本田,皓影,2020款 锐·混动 2.0L 两驱 锐·豪华版,广汽本田皓影后视镜玻璃脱落厂家拒绝更换,"H211,",2020-06-20,信息审核
486432,长安汽车,长安UNI-T,2020款 1.5T 尊贵型,长安UNI-T主驾驶化妆灯与宣传不符,"Q350,",2020-06-20,信息审核
486431,吉利汽车,帝豪,2016款 1.5L 手动 向上版 三厢,吉利帝豪转向抖动异响 减震器漏油 车窗漏风,"D80,G25,H144,",2020-06-20,信息审核
486430,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越车机无法升级 车窗漏风 刹车异响,"E43,H144,L314,",2020-06-20,信息审核
486427,吉利汽车,远景,2020款 1.5L CVT 亚运版,吉利远景胎压监测系统疑似简配,"Q350,",2020-06-20,信息审核
486423,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸半轴油封漏油要求免费更换,"G51,",2020-06-20,信息审核
486422,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 臻享型,吉利嘉际车机系统版本低无法使用,"M279,",2020-06-20,信息审核
486421,长安汽车,逸动XT,2016款 1.6L GDI 自动 锐酷型 XT,长安逸动XT变速箱挂入P挡后卡死,"B184,",2020-06-20,厂家受理
486418,广汽丰田,丰田C-HR,2018款 2.0L 领先天窗版 国VI,广汽丰田C-HR邓禄普轮胎外侧出现裂纹,"F100,",2020-06-20,信息审核
486417,东风雪铁龙,爱丽舍,2018款 1.6L 手动 时尚型,东风雪铁龙爱丽舍刹车片异常磨损,"E47,",2020-06-20,信息审核
486416,北京现代,菲斯塔,2019款 280TGDi 运动版 国V,北京现代菲斯塔天窗异响 蓝牙断开,"H155,H89,",2020-06-20,信息审核
486414,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯不亮希望尽快处理,"H82,",2020-06-20,信息审核
486413,猎豹汽车,Mattu,2018款 1.6T GDI DCT 精英型,猎豹Mattu发动机故障变速箱无动力输出,"A34,B246,H170,",2020-06-20,信息审核
486411,广汽丰田,凯美瑞,2018款 2.5HG E-CVT 豪华版,广汽丰田凯美瑞机油增多无法解决,"A339,",2020-06-20,信息审核
486400,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符出现死机现象,"H155,M279,",2020-06-20,信息审核
486396,一汽-大众,宝来,2014款 1.6L 自动 时尚型,一汽大众宝来车内进水4S店找不到原因,"H109,",2020-06-20,信息审核
486395,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁电子手刹异响需要尽快处理,"E43,E159,",2020-06-20,信息审核
486392,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,"H144,L314,",2020-06-20,信息审核
486391,上汽通用五菱,五菱宏光,2019款 1.5L S 舒适型 国VI LAR,上汽通用五菱宏光行驶中突然熄火,"A14,",2020-06-20,信息审核
486386,东风雪铁龙,雪铁龙C4L,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机正时链条套件故障,"A45,",2020-06-20,信息审核
486385,星途,星途LX,2019款 1.6T 星睿版,星途LX发动机与变速箱连接处漏油,"A12,B22,",2020-06-20,信息审核
486383,吉利汽车,缤越,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,"H144,L314,",2020-06-20,信息审核
486379,长安马自达,马自达3 昂克赛拉,2017款 2.0L 自动 旗舰型 三厢 国V,长安马自达昂克赛拉后视镜自动折叠功能失灵,"H211,",2020-06-20,信息审核
486378,野马汽车,野马T70,2016款 1.5T 手动 豪华型 升级版,野马T70倒车影像不显示黑屏厂家无配件,"H134,N318,",2020-06-20,信息审核
486377,广汽讴歌,讴歌CDX,2019款 1.5T 两驱 尊享版,广汽讴歌CDX变速箱顿挫车顶钢板太软,"B19,Q322,",2020-06-20,信息审核
486376,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5空调制冷效果差存在质量问题,"H101,",2020-06-20,厂家受理
486375,广汽本田,缤智,2020款 1.5L CVT 先锋版,广汽本田缤智优科豪马轮胎漏气售后不予质保,"F41,",2020-06-20,信息审核
486372,上汽通用五菱,新宝骏RS-5,2019款 1.5T CVT 智能驾控豪华版 国V,新宝骏RS-5玲珑轮胎龟裂 起皮严重,"F100,F186,",2020-06-20,信息审核
486368,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,东南DX3离合器异响4S店维修后未解决,"C65,",2020-06-20,信息审核
486361,东风悦达起亚,凯绅,2019款 1.8L 自动 GLS,东风悦达起亚凯绅后备箱盖生锈严重,"H79,",2020-06-20,信息审核
486353,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符 中控台异响,"H93,M279,",2020-06-20,信息审核
486352,长安马自达,马自达3 昂克赛拉,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控导航屏幕无故脱胶,"H134,H168,",2020-06-20,信息审核
486351,长安汽车,长安CS55 PLUS,2020款 1.5T 自动 炫色型,长安CS55 PLUS起步3100转换挡 悬挂异响,"B69,G204,",2020-06-20,处理反馈
486350,东风启辰,启辰D60,2019款 十万荣耀 1.6L Entry 手动 辰尚版 国VI,启辰D60后轮眉位置掉漆生锈存在质量问题,"H79,H81,",2020-06-20,信息审核
486349,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越刹车异响变速箱挂挡顿挫严重,"B19,E43,",2020-06-20,信息审核
486347,华晨宝马,宝马3系,2017款 320i M 运动型,宝马3系冷却液水管断裂发动机高温报警,"A37,A191,H168,",2020-06-20,信息审核
486342,吉利汽车,博越,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越手机APP无法控制车窗及定位,"H155,",2020-06-20,信息审核
486341,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,众泰SR9行驶中变速箱异响挂挡无法行驶,"B33,B334,",2020-06-20,厂家受理
486339,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸刹车异响 变速箱异响,"B33,E43,",2020-06-20,信息审核
486336,上汽大众,朗逸,2018款 280TSI DSG豪华版 两厢 国V,上汽大众朗逸轮毂氧化售后不予质保,"H243,",2020-06-20,信息审核
486335,一汽-大众,探岳,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳大灯亮度不够透镜上有指纹,"H82,H60,",2020-06-20,处理反馈
486332,沃尔沃亚太,沃尔沃S60新能源,2015款 2.0T 智越版 E驱混动,沃尔沃S60新能源召回后空调问题频发,"H101,",2020-06-20,信息审核
486329,一汽-大众,速腾,2019款 200TSI 手动 舒适型 国VI,一汽大众速腾一挡起步时转速自动升高,"A35,",2020-06-20,信息审核
486328,上汽集团,名爵HS,2019款 30T 自动 两驱 Trophy超燃版 国VI,上汽名爵HS发动机排放故障频发 动力消失,"A34,A255,B96,",2020-06-20,厂家受理
486327,吉利汽车,帝豪GS,2018款 1.4T 自动 领潮版 领尚智联型,吉利帝豪GS 4S店私自收回购车合同,"K309,L313,",2020-06-20,信息审核
486321,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L车身共振影响驾驶安全,"H268,",2020-06-20,信息审核
486318,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左前半轴有漏油现象,"G51,",2020-06-20,信息审核
486314,奥迪（进口）,奥迪A1,2014款 30 TFSI Sportback 时尚型,进口奥迪A1变速箱机电单元故障引起故障灯亮,"B96,B84,",2020-06-20,信息审核
486312,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 舒适版 改款,进口Jeep指南者隔音棉问题导致车内异味,"H185,",2020-06-20,信息审核
486311,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱报警 挡位缺失,"B19,B96,B84,",2020-06-20,处理反馈
486308,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际尊享版和高配氛围灯虚假宣传,"M279,",2020-06-20,信息审核
486304,北汽新能源,北汽新能源EU5,2018款 EU5 R500 智尚版,北汽新能源EU5行驶时变速箱脱挡无法挂挡,"B20,B246,",2020-06-20,处理反馈
486302,猎豹汽车,猎豹CS10,2017款 2.0T 手动 风尚型,猎豹CS10转向时异响并且卡顿 刹车抖动,"D59,D123,E111,",2020-06-20,信息审核
486298,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾顶棚鼓包 大灯进雾 刹车盘生锈,"E42,H168,H88,",2020-06-20,处理反馈
486297,广汽本田,雅阁,2005款 2.4 自动 标准版,广汽本田雅阁吊拉设计的前悬挂存在安全隐患,"Q322,",2020-06-20,信息审核
486296,北京奔驰,奔驰C级,2016款 200 L 运动型,北京奔驰C级空调系统无法调节温度影响使用,"H101,",2020-06-20,信息审核
486293,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领臻版,奇瑞艾瑞泽5发动机生锈4S店不予解决,"A247,",2020-06-20,厂家受理
486288,吉利汽车,星越,2019款 改款 350T 驭星者AWD,吉利星越实车多项配置与厂家宣传不符	,"M279,",2020-06-20,信息审核
486287,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉新车车门出现下沉,"H149,",2020-06-20,信息审核
486286,吉利汽车,帝豪,2018款 1.5L 手动 豪华型,吉利帝豪发动机油耗高一直未解决,"A85,",2020-06-20,信息审核
486283,长安汽车,长安CS75 PLUS,2020款 1.5T 自动 豪华型,长安CS75 PLUS车载微信缺失与宣传不符,"M279,",2020-06-20,处理反馈
486280,东风悦达起亚,智跑,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机盖漆面开裂脱落,"H81,",2020-06-20,信息审核
486279,广汽丰田,雷凌,2019款 185T CVT 运动版 国VI,广汽丰田雷凌变速箱换挡顿挫 转向异响,"B19,D59,",2020-06-20,信息审核
486277,上汽通用五菱,宝骏360,2018款 1.5L 手动 精英型 国V,宝骏360更换的挡风玻璃漏水漏风4S店不解决,"I295,J303,",2020-06-20,信息审核
486274,长安汽车,锐程CC,2020款 1.5T 自动 潮锐型,长安锐程CC行驶中突然熄火要求处理,"A14,",2020-06-20,处理反馈
486271,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机故障灯亮烧机油空调异响,"A34,A63,H101,",2020-06-20,信息审核
